file_id,filename,video_id,size_bytes,exercise,participant,angle,variation,gender,angle_name,variation_name,exercise_name,quality_score,judge_scores,n_judges,has_score,participant_num,split,cv_fold
11681646,E01_P01_AF_VFL_GM.mp4,E01_P01_AF_VFL_GM,75342935,E01,P01,F,FL,M,front,full_light,Abduction,79.52380952,"[70.0, 84.2857, 84.2857]",3,True,1,train,2
11681345,E01_P01_AF_VHJ_GM.mp4,E01_P01_AF_VHJ_GM,71420260,E01,P01,F,HJ,M,front,high_jitter,Abduction,77.14285714,"[70.0, 77.1429, 84.2857]",3,True,1,train,2
11681677,E01_P01_AF_VLJ_GM.mp4,E01_P01_AF_VLJ_GM,76503033,E01,P01,F,LJ,M,front,low_jitter,Abduction,77.14285714,"[77.1429, 77.1429, 77.1429]",3,True,1,train,2
11681702,E01_P01_AF_VLL_GM.mp4,E01_P01_AF_VLL_GM,74278186,E01,P01,F,LL,M,front,low_light,Abduction,77.14285714,"[77.1429, 77.1429, 77.1429]",3,True,1,train,2
11681685,E01_P01_AF_VML_GM.mp4,E01_P01_AF_VML_GM,79813971,E01,P01,F,ML,M,front,medium_light,Abduction,100.0,"[100.0, 100.0, 100.0]",3,True,1,train,2
11681655,E01_P01_AF_VO_GM.mp4,E01_P01_AF_VO_GM,71871001,E01,P01,F,O,M,front,occlusion,Abduction,74.76190476,"[70.0, 77.1429, 77.1429]",3,True,1,train,2
11674927,E01_P01_AL_VFL_GM.mp4,E01_P01_AL_VFL_GM,24825735,E01,P01,L,FL,M,left,full_light,Abduction,78.0952381,"[68.5714, 82.8571, 82.8571]",3,True,1,train,2
11679824,E01_P01_AL_VHJ_GM.mp4,E01_P01_AL_VHJ_GM,54538774,E01,P01,L,HJ,M,left,high_jitter,Abduction,75.71428571,"[68.5714, 75.7143, 82.8571]",3,True,1,train,2
11679838,E01_P01_AL_VLJ_GM.mp4,E01_P01_AL_VLJ_GM,58030950,E01,P01,L,LJ,M,left,low_jitter,Abduction,75.71428571,"[75.7143, 75.7143, 75.7143, 75.7143, 75.7143, 75.7143]",6,True,1,train,2
11681372,E01_P01_AL_VLL_GM.mp4,E01_P01_AL_VLL_GM,63779045,E01,P01,L,LL,M,left,low_light,Abduction,77.14285714,"[77.1429, 77.1429, 77.1429]",3,True,1,train,2
11674808,E01_P01_AL_VML_GM.mp4,E01_P01_AL_VML_GM,27036904,E01,P01,L,ML,M,left,medium_light,Abduction,100.0,"[100.0, 100.0, 100.0]",3,True,1,train,2
11674974,E01_P01_AL_VO_GM.mp4,E01_P01_AL_VO_GM,30720704,E01,P01,L,O,M,left,occlusion,Abduction,73.33333333,"[68.5714, 75.7143, 75.7143]",3,True,1,train,2
11674838,E01_P01_AR_VFL_GM.mp4,E01_P01_AR_VFL_GM,39489466,E01,P01,R,FL,M,right,full_light,Abduction,78.0952381,"[68.5714, 82.8571, 82.8571]",3,True,1,train,2
11681690,E01_P01_AR_VHJ_GM.mp4,E01_P01_AR_VHJ_GM,74237141,E01,P01,R,HJ,M,right,high_jitter,Abduction,75.71428571,"[68.5714, 75.7143, 82.8571]",3,True,1,train,2
11681699,E01_P01_AR_VLJ_GM.mp4,E01_P01_AR_VLJ_GM,77884517,E01,P01,R,LJ,M,right,low_jitter,Abduction,,[],0,False,1,train,2
11681659,E01_P01_AR_VLL_GM.mp4,E01_P01_AR_VLL_GM,76128742,E01,P01,R,LL,M,right,low_light,Abduction,75.71428571,"[75.7143, 75.7143, 75.7143]",3,True,1,train,2
11674911,E01_P01_AR_VML_GM.mp4,E01_P01_AR_VML_GM,38068497,E01,P01,R,ML,M,right,medium_light,Abduction,84.28571429,"[84.2857, 84.2857, 84.2857]",3,True,1,train,2
11681378,E01_P01_AR_VO_GM.mp4,E01_P01_AR_VO_GM,69994062,E01,P01,R,O,M,right,occlusion,Abduction,73.33333333,"[68.5714, 75.7143, 75.7143]",3,True,1,train,2
11674943,E01_P02_AF_VFL_GM.mp4,E01_P02_AF_VFL_GM,13436022,E01,P02,F,FL,M,front,full_light,Abduction,92.85714286,"[100.0, 92.8571, 85.7143]",3,True,2,train,0
11674782,E01_P02_AF_VHJ_GM.mp4,E01_P02_AF_VHJ_GM,36365737,E01,P02,F,HJ,M,front,high_jitter,Abduction,97.61904762,"[92.8571, 100.0, 100.0]",3,True,2,train,0
11675095,E01_P02_AF_VLJ_GM.mp4,E01_P02_AF_VLJ_GM,37368258,E01,P02,F,LJ,M,front,low_jitter,Abduction,90.47619048,"[85.7143, 92.8571, 92.8571]",3,True,2,train,0
11679832,E01_P02_AF_VLL_GM.mp4,E01_P02_AF_VLL_GM,57649027,E01,P02,F,LL,M,front,low_light,Abduction,79.52380952,"[77.1429, 77.1429, 84.2857]",3,True,2,train,0
11674969,E01_P02_AF_VML_GM.mp4,E01_P02_AF_VML_GM,22196243,E01,P02,F,ML,M,front,medium_light,Abduction,95.23809524,"[100.0, 92.8571, 92.8571]",3,True,2,train,0
11674805,E01_P02_AF_VO_GM.mp4,E01_P02_AF_VO_GM,19035166,E01,P02,F,O,M,front,occlusion,Abduction,74.76190476,"[77.1429, 70.0, 77.1429]",3,True,2,train,0
11681697,E01_P02_AL_VFL_GM.mp4,E01_P02_AL_VFL_GM,73723991,E01,P02,L,FL,M,left,full_light,Abduction,92.85714286,"[100.0, 92.8571, 85.7143]",3,True,2,train,0
11681369,E01_P02_AL_VHJ_GM.mp4,E01_P02_AL_VHJ_GM,68000503,E01,P02,L,HJ,M,left,high_jitter,Abduction,81.9047619,"[77.1429, 84.2857, 84.2857]",3,True,2,train,0
11681364,E01_P02_AL_VLJ_GM.mp4,E01_P02_AL_VLJ_GM,65744646,E01,P02,L,LJ,M,left,low_jitter,Abduction,74.76190476,"[70.0, 77.1429, 77.1429]",3,True,2,train,0
11679837,E01_P02_AL_VLL_GM.mp4,E01_P02_AL_VLL_GM,59929068,E01,P02,L,LL,M,left,low_light,Abduction,78.0952381,"[75.7143, 75.7143, 82.8571]",3,True,2,train,0
11681692,E01_P02_AL_VML_GM.mp4,E01_P02_AL_VML_GM,76006210,E01,P02,L,ML,M,left,medium_light,Abduction,79.52380952,"[84.2857, 77.1429, 77.1429]",3,True,2,train,0
11681380,E01_P02_AL_VO_GM.mp4,E01_P02_AL_VO_GM,66495059,E01,P02,L,O,M,left,occlusion,Abduction,74.76190476,"[77.1429, 70.0, 77.1429]",3,True,2,train,0
11674858,E01_P02_AR_VFL_GM.mp4,E01_P02_AR_VFL_GM,50834605,E01,P02,R,FL,M,right,full_light,Abduction,92.85714286,"[100.0, 92.8571, 85.7143]",3,True,2,train,0
