Video Name,Judges,Primary Factors,,,,Control Factors,,,Assesment Score,,,
,,1,2,3,4,1,2,3,Total Mark,On scale of 100,Average Score,Rounding to 2 Decimal
E01_P01_AF_VFL_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,0,4.9,70,79.52380952,79.52
,Dr Abid Hasan Khan,1,1,0,0.9,1,1,1,5.9,84.28571429,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P01_AL_VFL_GM,Dr Mamun Mahmud,1,1,0,0.8,1,1,0,4.8,68.57142857,78.0952381,78.1
,Dr Abid Hasan Khan,1,1,0,0.8,1,1,1,5.8,82.85714286,,
,Dr Rayhan Islam,1,1,0,0.8,1,1,1,5.8,82.85714286,,
E01_P01_AR_VFL_GM,Dr Mamun Mahmud,1,1,0,0.8,1,1,0,4.8,68.57142857,78.0952381,78.1
,Dr Abid Hasan Khan,1,1,0,0.8,1,1,1,5.8,82.85714286,,
,Dr Rayhan Islam,1,1,0,0.8,1,1,1,5.8,82.85714286,,
E01_P01_AF_VHJ_GM,Dr Mamun Mahmud,1,1,0,0.9,1,1,0,4.9,70,77.14285714,77.14
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,1,1,1,5.9,84.28571429,,
E01_P01_AL_VHJ_GM,Dr Mamun Mahmud,1,1,0,0.8,1,1,0,4.8,68.57142857,75.71428571,75.71
,Dr Abid Hasan Khan,1,1,0,0.8,0.5,1,1,5.3,75.71428571,,
,Dr Rayhan Islam,1,1,0,0.8,1,1,1,5.8,82.85714286,,
E01_P01_AR_VHJ_GM,Dr Mamun Mahmud,1,1,0,0.8,1,1,0,4.8,68.57142857,75.71428571,75.71
,Dr Abid Hasan Khan,1,1,0,0.8,0.5,1,1,5.3,75.71428571,,
,Dr Rayhan Islam,1,1,0,0.8,1,1,1,5.8,82.85714286,,
E01_P01_AF_VLJ_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,77.14285714,77.14
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
E01_P01_AL_VLJ_GM,Dr Mamun Mahmud,1,1,0,0.8,0.5,1,1,5.3,75.71428571,75.71428571,75.71
,Dr Abid Hasan Khan,1,1,0,0.8,0.5,1,1,5.3,75.71428571,,
,Dr Rayhan Islam,1,1,0,0.8,0.5,1,1,5.3,75.71428571,,
,Dr Mamun Mahmud,1,1,0,0.8,0.5,1,1,5.3,75.71428571,75.71428571,75.71
,Dr Abid Hasan Khan,1,1,0,0.8,0.5,1,1,5.3,75.71428571,,
,Dr Rayhan Islam,1,1,0,0.8,0.5,1,1,5.3,75.71428571,,
E01_P01_AF_VLL_GM,Dr Mamun Mahmud,1,1,0,0.9,0.5,1,1,5.4,77.14285714,77.14285714,77.14
,Dr Abid Hasan Khan,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
,Dr Rayhan Islam,1,1,0,0.9,0.5,1,1,5.4,77.14285714,,
